"landgrabbed","landgrabber","base","sector","hectares","production","year","status"
"Poland","Rabobank","Netherlands","Finance",NA,NA,"2014","Done"
"Romania","Rabobank","Netherlands","Finance",NA,NA,"2014","Done"
"Russia","Insight Energy AB","Sweden","Energy
",180000,"Grain, dairy, livestock","2014","Done"
"Russia","Bonduelle","France","Agribusiness",6000,"vegetables (beans, maize, sweet peas)","2014","Done"
"Senegal","China","China","Government",1e+05,"Peanuts","2014","In Process"
"Senegal","Tempieri Financial Group","Italy","Finance",20000,"Sunflowers, sweet potatoes","2014","Suspended"
"Sudan","Al Dahra","UAE","Agribusiness",34800,"Barley, cotton, hay, maize, sugar cane, sunflowers, wheat","2014","Done"
"Sudan","Foras International Investment Co","Saudi Arabia","Finance",126000,"Cereals","2014","Done"
"Sudan","South Korea","South Korea","Government",690000,"Wheat","2014","Done"
"Swaziland","Fuel Ethanol and Agricultural Plantation","South Africa","Agribusiness",15000,"Sweet sorghum","2014","In Process"
"Tanzania","CAMS Group","US","Construction",20000,"Sweet sorghum","2014","In Process"
"Ukraine","AgroGeneration","France","Agribusiness",51000,"Crops","2014","Done"
"Ukraine","Ukrainian Agrarian Investments","Russia","Agribusiness",250000,"Crops","2014","Done"
"United States","Kyiv-Atlantic Ukraine","US","Agribusiness",10000,"Crops","2014","Done"
"Ukraine","Bärnstädt eG","Germany","Agribusiness",8000,"Hops, maize, oilseed rape, sugar beet, wheat, wine, winter barley","2014","Done"
"Ukraine","Sustainable Bio Energy Holding GmbH","Germany","Agribusiness",11600,"Rapeseed, soybeans, wheat","2014","Done"
"Ukraine","Alpcot Agro","Sweden","Agribusiness",92500,"Wheat","2014","Done"
"US","Ingleby Company","Denmark","Finance",1427,"Pistachios","2014","Done"
"Zambia","Neha International","India","Agribusiness",1e+05,"Crops","2014","Done"
"Angola","ENI",NA,"Energy",12000,"Oil palm","2015","In Process"
"Angola","Quifel Natural Resources","Portugal","Agribusiness,,, energy",10000,"Oilseed","2015","Done"
"Argentina","Terra Magna Capital","Fran","Finance",70500,"Crops","2015","Done"
"Argentina","DWS GALOF","Germany","Finance",20000,"Crops","2015","Done"
"Argentina","Calyx Agro","France","Finance",5719,"Crops (mainly soybean)","2015","Done"
"Arg","Siva Group","Singapore","Agribusiness",2000,"Olives","2015","Done"
"Australia","DWS GALOF","Germany","Finance",27000,"crops","2015","Done"
"Benin","Chinese investment group","China",NA,10000,"Oil palm","2015","In Process"
"Brazil","Brookfield Asset Management","Canada","Finance",97124,"Crops","2015","Done"
"Brazil","Black River Asset Management","US","Finance",50000,"Crops","2015","Done"
"Brazil","Calyx Agro","France","Finance",61352,"Crops (mainly soybean)","2015","Done"
"Brazil","Archer Daniels Midland","UNITED STATES","Agribussiness",12000,"Oil palm","2015","In Process"
"Brazil","Clean Energy Brazil","UK","Agribusiness",30000,"Sugar cane","2015","Done"
"Brazil","Louis Dreyfus","France",NA,329000,"Sugar cane","2015","Done"
"Bulgaria","Ceres","Bulgaria","Finance",21400,"Crops","2015","Done"
"Bulgaria","World Bank","US","Finance",29409,"Crops","2015","Done"
"Cameroon","Herakles Capital","US","Finance",73000,"Oil palm","2015","Done"
"Congo-Brazzaville","FRI-EL Green","Italy","Agribusiness",44000,"Oil palm","2015","Done"
"Côte d'Ivoire","Wilmar International/Olam","Singapore","Agribusiness",47000,"Oil palm, sugar cane","2015","Done"
"Democratic Republic of the Congo","DWS GALOF","Germany","Finance",25000,"Crops","2015","Done"
"Democratic Republic of the Congo","ZTE","China","Telecommunications",1e+05,"Oil palm","2015","Done"
"Democratic Republic of the Congo","Feronia Inc.","Canada","Agribusiness",110000,"Oil palm, rice, soybeans","2015","Done"
"Ethiopia","Neha International","India","Agribusiness",4000,"Oil seeds, pulses, rice, wheat","2015","Done"
"Ethiopia","BDFC Ethiopia","US","Agribusiness",17400,"Sugar cane","2015","Done"
"Ethiopia","Chadha Agro Plc","India","Industrial",1e+05,"Sugar cane","2015","Done"
"Ethiopia","Almidha","India",NA,28000,"Sugar cane","2015","Done"
"Ghana","Wilmar International","Singapore","Agribusiness",6157,"Oil palm","2015","Done"
"Ghana","DOS Palm Oil Production Limited","UK","Agribusiness",3000,"Oil palm","2015","Done"
"Ghana","Symboil","Germany","Energy",13500,"Oil palm","2015","Done"
"Ghana","Herakles Capital","US","Finance",4364,"Oil palm","2015","Done"
"Indonesia","Noble Group","Singapore","Agribusiness",32500,"Oil palm","2015","Done"
"Indonesia","Bunge","US","Agribusiness
",25000,"Oil palm","2015","In Process"
"Lithuania","Agricultural Capital Partners","Ireland","Finance",582,"Crops","2015","Done"
"Madagascar","COMPLANT","China","Agribusiness, construction
",10000,"Sugar cane","2015","Done"
"Mali","Associated British Foods","UK","Agribusiness",17000,"Sugar cane","2015","Done"
"Mali","Lonrho","UK","Agribusiness",20000,"Sugar cane","2015","Done"
"Mozambique","MedEnergy","Italy","Energy",10000,"Oil palm","2015","In Process"
"Mozambique","Vale-Embrapa","Brazil","Mining",30000,"Oil palm","2015","In Process"
"Mozambique","Petro Buzi","Brazil","Energy",40000,"Sugar cane","2015","In Process"
"Mozambique","Principle Capital Holdings","UK","Finance",23000,"Sugar cane","2015","Done"
"Mozambique","Sabiol","Portugal",NA,29000,"Sugar cane","2015","Done"
"Nigeria","FRI-EL Green","Italy","Energy",11292,"Oil palm","2015","Done"
"Pakistan","Emirates Investment Group","UAE","Finance",35000,"Crops, dairy","2015","In Process"
"Papua New Guinea","Far East Holdings Berhad","Malaysia","Agribusiness",140000,"Oil palm","2015","Done"
"Papua New Guinea","Kulim","Malaysia","Agribusiness",25000,"Oil palm","2015","Done"
"Papua New Guinea","Mekeo Hinterland Holdings","Malaysia","Agribusiness",116400,"Oil palm","2015","Done"
"Peru","Ecoamerica","South Korea","Agribusiness",72000,"Crops, forstry, livestock","2015","In Process"
"Philippines","A. Brown Company","US","Agribusiness, real estate",20000,"Oil palm","2015","In Process"
"Philippines","San Carlos Bio-Energy","UK","Agribusiness",5000,"Sugar cane","2015","Done"
"Philippines","Lotte Group","South Korea","Agribusiness, construction, real estate
",10000,"Sugar cane","2015","In Process"
"Poland","Agricultural Capital Partners","Ireland","Finance",1116,"Crops, dairy","2015","Done"
"Russia","Heilongjiang Province","China","Government",426667,"Crops","2015","Done"
"Russia","NCH Capital","US","Finance",250000,"Crops","2015","Done"
"Russia","Ivolga-Holding, LLC","Kazakhstan","Agribusiness",666850,"Crops (mostly wheat)","2015","Done"
"Russia","Olam International","Singapore","Agribusiness",60000,"Crops, dairy","2015","Done"
"Senegal","Dangote Industries","Nigeria","Agribusiness, industrial, real estate",40000,"Sugar cane","2015","Done"
"Serbia","Agricultural Capital Partners","Ireland","Finance",12140,"Crops, dairy, livestock","2015","Done"
"Sierra Leone","Agriterra","UK","Agribusiness",45000,"Oil palm","2015","Done"
"Sierra Leone","Caparo Group","UK","Industrial",43000,"Oil palm","2015","Done"
"Sierra Leone","Sepahan Afrique","Iran","Agribusiness",10000,"Oil palm, rice","2015","Done"
"South Sudan","Canadian Economic Development Assistance for Southern Sudan (CEDASS)","Canada","NGO",12200,"Crops (sorghum)","2015","Done"
"Sudan","ZTE","China","Telecommunications",10000,"oil seeds","2015","Done"
"Tanzania","DWS GALOF","Germany","Finance",5000,"Crops","2015","Done"
"Tanzania","Aslan Global Management","US","Finance",42000,"Crops","2015","Done"
"Tanzania","TM Plantations","US","Agribusiness",50000,"Oil palm","2015","In Process"
"Uganda","Wilmar International","Singapore","Agribusiness",40000,"Oil palm","2015","Done"
"Ukraine","NCH Capital","US","Finance",450000,"Crops","2015","Done"
"Uruguay","Campos Orientales","France","Finance",24000,"Crops","2015","Done"
"US","Hancock","Canada","Finance",93000,"Crops","2015","Done"
"Zambia","DWS GALOF","Germany","Finance",27000,"Crops","2015","Done"
"Angola","CAMC Engineering Co. Ltd","China","Construction",1500,"Rice","2016","Done"
"Argentina","Olam International","Singapore","Agribusiness",17000,"Maize, peanuts and soybeans","2016","Done"
"Argentina","Beidahuang","China","Agribusiness",320000,"Maize, soybeans, wheat","2016","Suspended"
"Benin","BETEXCO","Nigeria","Energy",1500,"Cassava","2016","Done"
"Benin","COMPLANT","China","Agribusiness, construction
",4800,"Cassava, sugar cane","2016","In Process"
"Brazil","Teachers Insurance and Annuity Association - College Retirement Equities Fund (TIAA-CREF)","US","Finance",424000,"Soybeans, sugar cane","2016","Done"
"Bulgaria","Tianjin State Farms Agribusiness Group Company","China","Agribusiness",2000,"Alfalfa, maize, sunflower","2016","In Process"
"Cambodia","Muhak Alcohol","South Korea","Agribusiness",2000,"Cassava","2016","In Process"
"Cambodia","Korea BNA","South Korea","Agribusiness",7500,"Cassava, rubber","2016","Done"
"Cambodia","Amira Group","India","Agribusiness",25000,"Rice","2016","In Process"
"Cambodia","Khon Kaen Sugar Industry","Thailand","Agribusiness",20000,"Sugar","2016","Done"
"East Timor","GTLeste Biotech","Indonesia","Agribusiness",1e+05,"Sugar cane","2016","Done"
"Ethiopia","Sannati Agro Farm Enterprise","India","Agribusiness",10000,"Cereals, pulses, rice","2016","Done"
"Ethiopia","ARS Agrofoods","India","Agribusiness",3000,"Cotton, groundnut, sesame, soybean","2016","In Process"
"Ethiopia","Jalandhar Potato Growers' Association","India","Agribusiness",1e+05,"Cotton, maize, paddy, potatoes, pulses, wheat","2016","In Process"
"Ethiopia","Karuturi","India","Agribusiness",311000,"Maize, palm oil, rice, sugar","2016","Done"
"Ghana","Compagnie Fruitière","France","Agribusiness",3500,"Banaba, pineapple","2016","Done"
"Laos","ZTE","China","Telecommunications",50000,"Cassava","2016","Done"
"Laos","RTL World Trade Company","Thailand",NA,50000,"Cassava and oil palm","2016","Done"
"Liberia","Golden Agri Resources","Singapore","Agribusiness",220000,"Oil palm","2016","Done"
"Liberia","Libyan African Investment Portfolio","Libya","Government",15000,"Rice","2016","Done"
"Liberia","Equatorial Palm Oil","UK","Agribusiness",169000,"Oil palm","2016","Done"
"Mali","Millennium Challenge Corporation","US","Government",22441,"Cereals, rice","2016","Done"
"Morocco","Tiris Euro Arab","UAE","Finance",7e+05,"Citrus and olives","2016","Done"
"Mozambique","Tenga Lda","South Africa","Agribusiness",2000,"Almonds","2016","Done"
"Mozambique","Saxonian Estates","UK","Agribusiness",150000,"Animal ranching, coconut oil (export), jatropha, pineapple","2016","Done"
"Mozambique","Saxonian Estates","UK","Agribusiness",3000,"Bananas","2016","Done"
"Mozambique","Libyan African Investment Portfolio","Libya","Government",20000,"Rice","2016","Done"
"Mozambique","Olam International","Singapore","Agribusiness",227,"Rice","2016","Done"
"Nigeria","Chinese investors","China",NA,6000,"Cassava","2016","Done"
"Nigeria","Foras International Investment Co","Saudi Arabia","Finance",1000,"Crops","2016","Done"
"Nigeria","Dominion Farms","US","Agribusiness",30000,"Rice","2016","Done"
"Pakistan","United Arab Emirates","UAE","Government",324000,"Alfalfa, crops, livestock","2016","Done"
"Papua New Guinea","Changhae Engineering","South Korea","Agribusiness",33000,"Cassava","2016","Done"
"Philippines","Far Eastern Agricultural Investment Company","Saudi Arabia","Agribusiness",50000,"Banana, maize, pineapple, rice","2016","Done"
"Poland","Continental Farmers Group","Ireland","Agribusiness",2500,"Sugar beet, wheat","2016","Done"
"Russia","North Korea","North Korea","Government",2e+05,"Cereals, vegetables","2016","In Process"
"Russia","Amity Technology","US","Agribusiness",1e+05,"Sugar beet","2016","Done"
"Senegal","Société de Cultures Légumières","France","Agribusiness",570,"Asparagus, squash, sweetcorn","2016","Done"
"Sierra Leone","Quifel Natural Resources","Portugal","Agribusiness, energy",126000,"Cassava, pineapple, rice, vegetables","2016","Done"
"Sierra Leone","Bolloré","France","Agribusiness",12000,"Oil palm","2016","Done"
"Sierra Leone","Shanghai Construction Investment","China","Construction",30000,"Rice","2016","Done"
"South Sudan","Citadel Capital","Egypt","Finance",105000,"Cotton, maize, sorghum, sugar, sunflower, wheat","2016","Done"
"Spain","Al Dahra","UAE","Agribusiness",5050,"Alfalfa","2016","Done"
"Sudan","Abu Dhabi Fund for Development","UAE","Government",29400,"Alfalfa","2016","Done"
"Sudan","Citadel Capital","Egypt","Finance",131890,"Cotton, maize, rice, sorghum, sugar cane, sunflowers, wheat","2016","Done"
"Sudan","Pharos Financial Group","UAE","Finance",156000,"Maize, peanuts, sorghum, sunflowers","2016","In Process"
"Sudan","Egypt","Egypt","Government",4e+05,"Maize, sugar, wheat","2016","Done"
"Sudan","Almarai Co.","Saudi Arabia","Agribusiness",9239,"Maize, wheat","2016","Done"
"Sudan","Egypt","Egypt","Government",17000,"Meat","2016","In Process"
"Tanzania","Korea Rural Community Corporation","South Korea","Government",1e+05,"Rice","2016","Done"
"Uganda","Egypt","Egypt","Government",8e+05,"Maize, wheat","2016","Done"
"Ukraine","Continental Farmers Group","United Kingdom","Agribusiness",21000,"Maize, potatoes, spring wheat, sugar beet","2016","Done"
"Uruguay","Calyx Agro","France","Finance",13592,"Soybeans, wheat","2016","Done"
"Zambia","Emvest","UK","Finance",2513,"Banana, maize, wheat","2016","Done"
"Angola","Lonrho",NA,"Agribus",2,"Rice","2017","Done"
"Argentina","Almarai Co","Saudi Arabia","Agribusiness",12306,"Maize, soybean","2017","Done"
"Argentina","Grupo Maggi","Brazil","Agribusiness",7000,"Soybeans","2017","Done"
"Argentina","Sojitz","Japan","Industrial",11000,"Soybeans and other crops","2017","In Process"
"Argentina","Campos Orientales","France","Finance",19000,NA,"2017","Done"
"Australia","Nexis Holding","China","Construction",1705,"Cattle, nuts
","2017","Done"
"Australia","MHPF","UK","Finance",47100,"Cereals, livestock, sugar cane","2017","Done"
"Australia","Mitr Phol Group","Thailand","Agribusiness",6000,"Sugar cane","2017","In Process"
"Benin","Libyan investors","Libya",NA,2000,NA,"2017","In Process"
"Bolivia","Pengxin Group","China","Real estate",12500,"Maize, soybean","2017","Done"
"Bolivia","Cresud","Argentina","Agribusiness",17000,"Soybean","2017","Done"
"Brazil","Cresud","Argentina","Agribusiness",175000,"Cattle, crops, sugar cane","2017","Done"
"Brazil","El Tejar","Argentina","Agribusiness",220000,"Cereals, oilseeds","2017","Done"
"Brazil","Chongqing Grain Group","China","Agribusiness",2e+05,"Soybean","2017","In Process"
"Brazil","Prio Foods","Portugal","Agribusiness",29528,"Soybean","2017","Done"
"Brazil","Hyundai","South Korea","Industrial",10000,"Soybean","2017","In Process"
"Brazil","Los Grobo","Argentina","Agribusiness",60000,"Soybeans","2017","Done"
"Brazil","Shree Renuka Sugars","India","Agribusiness",133000,"Sugar cane","2017","Done"
"Brazil","Bunge","US","Agribusiness",10000,"Sugar cane","2017","In Process"
"Brazil","Tiba Agro","US","Agribusiness",320000,NA,"2017","unclear"
"Bulgaria","Elana Agricultural Land Opportunity Fund","US","Finance",29320,NA,"2017","Done"
"Burma","Bangladesh","Bangladesh","Government",20200,"Maize, onion, paddy, soybeans, sugar cane, tea","2017","Proposed"
"Cambodia","BKK Partners","Australia","Finance",1e+05,"Bananas, palm oil, rice, sugar cane, teak","2017","In Process"
"Cambodia","Ruchi Group","India","Agribusiness",20000,"Oil palm","2017","Done"
